text with images,2_way_label
my xbox controller says hi,1
new image from the mandalorian,1
say hello to my little friend,0
watch your step little one,0
this tree i found with a solo cup on it,1
this cat out of a box,0
dude id feel the same if i got a pole through my head too,0
is it time for oktoberfest already,0
japanese black pine tree,1
just bit into a large grape that ended up being a grape inside a grape,1
something different lion yawning,1
this back rub foot rub facial spot in my neighborhood was shut down due to prostitution always knew something shady was up,1
obligitory godzilla post,0
building blends in perfectly with the sky,1
the difference between the local and tourist specials on this menu,1
theres things it could be that are worse than brown,0
forget the ice bucket challenge mexicos new trend involves snorting coke,1
mustachioed man in front of hot air balloons,1
someone rented a part of central park for a party today,1
the brand and size of my jeans are kinda sequential,1
the traditionalists whole roasted kitten,0
look at those puppies,0
grumpy farrell,0
new cover for,0
money shot,0
this trump costume in the bargain bin at a closing halloween store,1
licking that delicious pork,0
the second caprisun i pulled out of the box after finding the first one didnt have a straw,1
saving obama,0
roggan,0
oh hello,0
one man with lobster,0
are you not entertained,0
fbi investigating whether russian money went to nra to help trump,1
an old picture of the last yellow eyed cat being cooked by its owner,0
this is what you all come to see nsfw obviously,0
house republicans vote to defund the affordable care act for the th time,0
brazilian president killing japonese soldiers in wwii,0
this come at me bro sign has been following mitch mcconnell around for months,1
truly a dark day in the name of free speech,0
obama parkour,1
india becomes a superpower,0
baby rhino on a swing,0
falling asleep waiting for the subway,1
sure why not,0
the son and daughterinlaw of the oil tycoon sir ian wood have donated ps towards medical equipment at wishaw general hospital they made the offer after losing triplets born prematurely at the hospital in they hope the equipment will help save the lives of other premature babies,1
do you have a moment to speak about our lord and savior emperor palpatine,0
this will happen to the fascist beast ussr artwork by aleksei kokorekin httpsantikbarcoukoriginalvintageposterswarpostersthatsthewayitwillbewiththefascistbeastwwiipw,0
call of cthulhu the video game,0
all done,0
nsfw gonzo,0
as a graphic designer at my husbands company this is how he explained cloudflare to me,1
the one thing college students should never say to a professor,0
derpy dog and little girl on the run,1
frog listening to music,0
i wish i had the skill to do this justice,0
i stopped the microwave at,1
a cat stretching out on the bed and simultaneously yawning,1
this bizarre textile flooring is neither textile nor carpeting its porcelain tile,1
god dammit boris,0
guy in a barrel going for a wild ride,0
good morning to you too blueberry bread,0
this angle on the st louis arch,1
sea world nyc,0
former portland mayor sam adams exstaffer accuses him of sexual harassment adams welcomes investigation,1
kept a receipt in my wallet until it became completely blank and smooth,1
chronicles of sea lion,0
other discussions,0
how deep is too deep,0
brighton photo biennial perpetual process,0
other discussions,0
this dictionary entry,1
frenchamerican quasi war,0
dead meme,0
gazania praying to nobody,0
satanic temple cites religious beliefs as immunity from supreme court abortion ruling on fetal remains,1
my vitamin water is full to the brim,1
brian wilsons sonic experiments,0
a tomato my grandfather brought home,1
introducing the newest member of the bullet club,0
had an archery accident with the my so safe to say shes pissed,0
nonessential government employee gets back to work,0
the employee area of this fastfood restaurant has had an access code in the pattern of triangle for a long time,1
most of the current marine traffic over the globe,1
cutouts,0
lost in space,0
wrong shirt for the weathergirl,0
the only people harassing the gays of sochi are the foreign journalists,1
my canadian barbecue,0
in painting,0
hey man where dya wanna go,0
oily rainbow in cincinnati,1
happy backpack,0
i would like to thank my dog sitter,0
dont do it,0
family dog that ran away after a car crash found alive six days later,1
